"ALUMNO","MATRICULA","ETAPA","ANNO","TIPO","ESTUDIOS","GRUPO","REPETIDOR","FECHAMATRICULA","CENTRO","PROCEDENCIA","ESTADOMATRICULA","FECHARESMATRICULA","NUM_EXP_CENTRO"
505654,4449738,31,2014,O,2º de Bachillerato (Humanidades y Ciencias Sociales),2º HCS,N,04/07/2014,13000906,13000906,,,77
228478,4449767,667,2014,O,1º de ESO,1º B,N,04/07/2014,13000906,13000891,,,247
713039,4449768,667,2014,O,1º de ESO,1º A,N,04/07/2014,13000906,13000888,,,248
99943,4444913,31,2014,O,2º de Bachillerato (Ciencias y Tecnología),2º BCT,N,04/07/2014,13000906,13000906,,,21
344726,4445204,667,2014,O,1º de ESO,1º A,N,04/07/2014,13000906,13000311,,,243
344718,4447287,667,2014,O,1º de ESO,1º A,N,04/07/2014,13000906,13000311,,,244
175408,4444438,667,2014,O,2º de ESO,2º B,N,04/07/2014,13000906,13000906,,,201
99925,4444453,667,2014,O,3º de ESO,3º B,N,04/07/2014,13000906,13000906,,,1
585804,4444528,667,2014,O,1º de ESO,1º A,N,04/07/2014,13000906,13000888,,,242
228396,4440144,667,2014,O,1º de ESO,1º A,N,03/07/2014,13000906,13000891,,,238
228395,4440146,667,2014,O,1º de ESO,1º A,N,03/07/2014,13000906,13000891,,,239
82537,4440171,667,2014,O,4º de ESO,4º A,N,03/07/2014,13000906,13000906,,,53
82596,4440109,667,2014,O,3º de ESO,3º B,N,03/07/2014,13000906,13000906,,,64
103991,4440135,667,2014,O,4º de ESO,4º A,N,03/07/2014,13000906,13000906,,,55
82535,4440136,667,2014,O,4º de ESO,4º A,N,03/07/2014,13000906,13000906,,,20
103932,4444522,31,2014,O,2º de Bachillerato (Humanidades y Ciencias Sociales),2º HCS,N,04/07/2014,13000906,13000906,,,21
196591,4440205,667,2014,O,1º de ESO,1º B,N,03/07/2014,13000906,13000891,,,240
41534,4440206,667,2014,O,1º de ESO,1º A,N,03/07/2014,13000906,13000891,Trasladada,23/09/2014,241
41551,4440213,667,2014,O,2º de ESO,2º B,N,03/07/2014,13000906,13000906,,,199
99799,4447105,667,2014,O,3º de ESO,3º A,N,04/07/2014,13000906,13000906,,,173
82532,4450328,667,2014,O,4º de ESO,4º A,N,04/07/2014,13000906,13000906,,,33
82549,4450330,667,2014,O,4º de ESO,4º B,N,04/07/2014,13000906,13000906,,,6
103969,4451205,31,2014,O,2º de Bachillerato (Ciencias y Tecnología),2º BCT,N,04/07/2014,13000906,13000906,,,22
228506,4459555,667,2014,O,1º de ESO,1º A,N,07/07/2014,13000906,13000888,,,255
82476,4459740,31,2014,O,2º de Bachillerato (Ciencias y Tecnología),2º BCT,N,07/07/2014,13000906,13000906,,,75
103983,4457763,667,2014,O,4º de ESO,4º A,N,07/07/2014,13000906,13000906,,,17
103972,4458807,31,2014,O,2º de Bachillerato (Ciencias y Tecnología),2º BCT,N,07/07/2014,13000906,13000906,,,14
82475,4458808,31,2014,O,2º de Bachillerato (Ciencias y Tecnología),2º BCT,N,07/07/2014,13000906,13000906,,,32
82534,4458853,667,2014,O,4º de ESO,4º A,N,07/07/2014,13000906,13000906,,,71
229674,4458890,667,2014,O,1º de ESO,1º A,N,07/07/2014,13000906,13000888,,,254
103971,4459958,31,2014,O,2º de Bachillerato (Ciencias y Tecnología),2º BCT,N,07/07/2014,13000906,13000906,,,46
343324,4454675,667,2014,O,1º de ESO,1º B,N,07/07/2014,13000906,13000888,,,249
104042,4457885,667,2014,O,4º de ESO,4º B,N,07/07/2014,13000906,13000906,,,22
344483,4460018,667,2014,O,1º de ESO,1º B,N,07/07/2014,13000906,13000311,,,256
228493,4460019,667,2014,O,1º de ESO,1º A,N,07/07/2014,13000906,13000888,,,257
103975,4463197,31,2014,O,2º de Bachillerato (Ciencias y Tecnología),2º BCT,N,08/07/2014,13000906,13000906,,,25
39482,4459799,667,2014,O,2º de ESO,2º A,N,07/07/2014,13000906,13000906,,,184
82597,4451757,667,2014,O,3º de ESO,3º A,N,04/07/2014,13000906,13000906,,,65
103988,4454229,667,2014,O,4º de ESO,4º A,N,07/07/2014,13000906,13000906,,,62
175458,4455778,667,2014,O,2º de ESO,2º B,N,07/07/2014,13000906,13000906,,,166
103986,4456187,667,2014,O,4º de ESO,4º A,N,07/07/2014,13000906,13000906,,,24
99857,4454962,31,2014,O,2º de Bachillerato (Humanidades y Ciencias Sociales),2º HCS,N,07/07/2014,13000906,13000906,,,30
228405,4455072,667,2014,O,1º de ESO,1º A,N,07/07/2014,13000906,13000891,,,250
228528,4458110,667,2014,O,1º de ESO,1º B,N,07/07/2014,13000906,13000888,,,252
228415,4457741,667,2014,O,1º de ESO,1º A,N,07/07/2014,13000906,13000891,,,251
47856,4458208,667,2014,O,1º de ESO,1º B,N,07/07/2014,13000906,13000888,,,253
127768,4458232,31,2014,O,2º de Bachillerato (Humanidades y Ciencias Sociales),2º HCS,N,07/07/2014,13000906,13000906,,,55
99949,4458428,31,2014,O,2º de Bachillerato (Ciencias y Tecnología),2º BCT,N,07/07/2014,13000906,13000906,,,39
99942,4456059,31,2014,O,2º de Bachillerato (Ciencias y Tecnología),2º BCT,N,07/07/2014,13000906,13000906,,,65
41272,4454232,667,2014,O,2º de ESO,2º B,N,07/07/2014,13000906,13000906,,,160
175456,4454233,667,2014,O,2º de ESO,2º A,N,07/07/2014,13000906,13000906,,,162
244847,4459374,667,2014,O,3º de ESO,3º B,N,07/07/2014,13000906,13000906,,,27
103962,4458583,667,2014,O,4º de ESO,4º A,N,07/07/2014,13000906,13000906,,,70
82539,4468475,667,2014,O,4º de ESO,4º A,N,08/07/2014,13000906,13000906,Trasladada,15/09/2014,43
104007,4468583,31,2014,O,2º de Bachillerato (Humanidades y Ciencias Sociales),2º HCS,N,08/07/2014,13000906,13000906,,,28
241682,4468075,667,2014,O,1º de ESO,1º B,N,08/07/2014,13000906,13000888,,,260
40908,4472948,667,2014,O,2º de ESO,2º A,N,09/07/2014,13000906,13000906,,,193
82593,4472983,667,2014,O,3º de ESO,3º A,N,09/07/2014,13000906,13000906,,,61
127781,4465593,31,2014,O,1º de Bachillerato (Humanidades y Ciencias Sociales),1º HCS,N,08/07/2014,13000906,13000906,,,15
196548,4465607,667,2014,O,2º de ESO,2º A,N,08/07/2014,13000906,13000906,,,163
82590,4464526,31,2014,O,2º de Bachillerato (Ciencias y Tecnología),2º BCT,N,08/07/2014,13000906,13000906,,,20
103909,4471146,667,2014,O,3º de ESO,3º A,N,08/07/2014,13000906,13000906,,,62
230902,4466984,667,2014,O,1º de ESO,1º A,N,08/07/2014,13000906,13000891,,,258
228439,4466987,667,2014,O,1º de ESO,1º A,N,08/07/2014,13000906,13000891,,,259
365987,4468314,667,2014,O,1º de ESO,1º A,N,08/07/2014,13000906,13000888,,,261
103927,4464463,667,2014,O,3º de ESO,3º A,N,08/07/2014,13000906,13000906,,,24
103964,4471390,667,2014,O,4º de ESO,4º B,N,08/07/2014,13000906,13000906,,,32
82605,4470537,667,2014,O,3º de ESO,3º A,N,08/07/2014,13000906,13000906,,,29
491716,4470738,667,2014,O,2º de ESO,2º A,N,08/07/2014,13000906,13000906,Trasladada,26/09/2014,202
103902,4471161,31,2014,O,2º de Bachillerato (Ciencias y Tecnología),2º BCT,N,08/07/2014,13000906,13000906,,,47
566312,4466889,667,2014,O,2º de ESO,2º B,N,08/07/2014,13000906,13000906,,,167
41605,4474535,667,2014,O,1º de ESO,1º B,N,09/07/2014,13000906,13000888,,,262
82495,4467325,31,2014,O,1º de Bachillerato (Ciencias y Tecnología),1º BCT,N,08/07/2014,13000906,13000906,,,5
103910,4474654,667,2014,O,3º de ESO,3º B,N,09/07/2014,13000906,13000906,,,50
349962,4637497,31,2014,O,1º de Bachillerato (Humanidades y Ciencias Sociales),1º HCS,N,02/10/2014,13000906,13000906,,,137
103946,4631447,31,2014,O,1º de Bachillerato (Humanidades y Ciencias Sociales),1º HCS,N,30/09/2014,13000906,13000906,,,20
41569,4535854,667,2014,O,2º de ESO,2º A,N,05/09/2014,13000906,13000906,,,188
82606,4536541,667,2014,O,3º de ESO,3º A,N,05/09/2014,13000906,13000906,,,30
103982,4536566,667,2014,O,3º de ESO,3º A,N,05/09/2014,13000906,13000906,,,60
505390,4537158,667,2014,O,1º de ESO,1º B,S,05/09/2014,13000906,13000906,,,176
82603,4537191,667,2014,O,3º de ESO,3º A,N,05/09/2014,13000906,13000906,,,74
99945,4534984,31,2014,O,2º de Bachillerato (Humanidades y Ciencias Sociales),2º HCS,N,05/09/2014,13000906,13000906,,,12
164285,4535016,31,2014,O,1º de Bachillerato (Ciencias y Tecnología),1º BCT,S,05/09/2014,13000906,13000906,,,18
39700,4536718,667,2014,O,2º de ESO,2º B,N,05/09/2014,13000906,13000906,,,183
82538,4537873,667,2014,O,3º de ESO,3º A,S,05/09/2014,13000906,13000906,,,61
40986,4537903,667,2014,O,2º de ESO,2º A,N,05/09/2014,13000906,13000906,,,165
99882,4537907,667,2014,O,2º de ESO,2º A,N,05/09/2014,13000906,13000906,,,215
103974,4538834,31,2014,O,2º de Bachillerato (Humanidades y Ciencias Sociales),2º HCS,N,05/09/2014,13000906,13000906,,,26
104040,4538836,31,2014,O,2º de Bachillerato (Humanidades y Ciencias Sociales),2º HCS,N,05/09/2014,13000906,13000906,,,50
103933,4529687,667,2014,O,3º de ESO,3º B,N,04/09/2014,13000906,13000906,,,16
104069,4537931,667,2014,O,4º de ESO,4º B,N,05/09/2014,13000906,13000906,,,8
103960,4529417,667,2014,O,3º de ESO,3º B,N,04/09/2014,13000906,13000906,,,26
103332,4535952,667,2014,O,1º de ESO,1º A,S,05/09/2014,13000906,13000906,,,204
82473,4534399,31,2014,O,2º de Bachillerato (Humanidades y Ciencias Sociales),2º HCS,N,05/09/2014,13000906,13000906,,,13
37440,4538495,667,2014,O,2º de ESO,2º B,N,05/09/2014,13000906,13000906,,,221
104063,4538985,667,2014,O,3º de ESO,3º B,N,05/09/2014,13000906,13000906,,,7
99865,4536481,667,2014,O,2º de ESO,2º A,S,05/09/2014,13000906,13000906,,,104
118471,4538541,667,2014,O,4º de ESO,4º B,N,05/09/2014,13000906,13000906,,,103
99923,4532583,667,2014,O,3º de ESO,3º A,N,05/09/2014,13000906,13000906,,,70
505649,4535967,667,2014,O,2º de ESO,2º B,N,05/09/2014,13000906,13000906,,,66
41207,4537451,667,2014,O,2º de ESO,2º B,N,05/09/2014,13000906,13000906,,,198
103904,4609057,31,2014,O,2º de Bachillerato (Ciencias y Tecnología),2º BCT,S,19/09/2014,13000906,13000906,,,1
82490,4537340,667,2014,O,4º de ESO,4º B,S,05/09/2014,13000906,13000906,,,70
82481,4539307,31,2014,O,2º de Bachillerato (Ciencias y Tecnología),2º BCT,N,05/09/2014,13000906,13000906,,,24
82492,4539459,31,2014,O,1º de Bachillerato (Humanidades y Ciencias Sociales),1º HCS,N,05/09/2014,13000906,13000906,,,18
82528,4539460,31,2014,O,1º de Bachillerato (Humanidades y Ciencias Sociales),1º HCS,N,05/09/2014,13000906,13000906,,,58
82488,4537435,667,2014,O,4º de ESO,4º A,N,05/09/2014,13000906,13000906,,,32
82547,4537543,667,2014,O,2º de ESO,2º A,N,05/09/2014,13000906,13000906,,,75
82592,4537544,667,2014,O,2º de ESO,2º A,N,05/09/2014,13000906,13000906,,,194
99866,4538676,667,2014,O,3º de ESO,3º A,S,05/09/2014,13000906,13000906,,,209
82602,4536694,667,2014,O,1º de ESO,1º B,S,05/09/2014,13000906,13000906,,,177
538665,4536815,667,2014,O,3º de ESO,3º A,N,05/09/2014,13000906,13000906,,,144
840319,4538613,667,2014,O,4º de ESO,4º A,N,05/09/2014,13000906,13000906,,,87
479189,4538615,667,2014,O,4º de ESO,4º B,N,05/09/2014,13000906,13000906,,,24
99802,4535079,667,2014,O,3º de ESO,3º A,N,05/09/2014,13000906,13000906,,,170
99924,4535086,667,2014,O,3º de ESO,3º A,N,05/09/2014,13000906,13000906,,,211
123120,4535105,667,2014,O,4º de ESO,4º A,N,05/09/2014,13000906,13000906,,,7
82496,4538662,31,2014,O,1º de Bachillerato (Humanidades y Ciencias Sociales),1º HCS,N,05/09/2014,13000906,13000906,,,14
99884,4529028,667,2014,O,4º de ESO,4º A,N,04/09/2014,13000906,13000906,,,138
82493,4535036,31,2014,O,1º de Bachillerato (Humanidades y Ciencias Sociales),1º HCS,N,05/09/2014,13000906,13000906,,,4
103967,4538692,31,2014,O,2º de Bachillerato (Ciencias y Tecnología),2º BCT,N,05/09/2014,13000906,13000906,,,29
103961,4529473,667,2014,O,2º de ESO,2º A,N,04/09/2014,13000906,13000906,,,32
99814,4534627,31,2014,O,2º de Bachillerato (Humanidades y Ciencias Sociales),2º HCS,N,05/09/2014,13000906,13000906,,,42
99859,4534629,31,2014,O,2º de Bachillerato (Humanidades y Ciencias Sociales),2º HCS,N,05/09/2014,13000906,13000906,,,41
193393,4537176,667,2014,O,2º de ESO,2º B,N,05/09/2014,13000906,13000906,,,203
127773,4538743,31,2014,O,2º de Bachillerato (Ciencias y Tecnología),2º BCT,N,05/09/2014,13000906,13000906,,,60
82468,4538744,31,2014,O,2º de Bachillerato (Ciencias y Tecnología),2º BCT,N,05/09/2014,13000906,13000906,,,11
103963,4540368,667,2014,O,3º de ESO,3º B,N,05/09/2014,13000906,13000906,,,54
103984,4541349,667,2014,O,2º de ESO,2º B,N,05/09/2014,13000906,13000906,,,69
104045,4541379,667,2014,O,3º de ESO,3º A,N,05/09/2014,13000906,13000906,,,79
103924,4539775,667,2014,O,2º de ESO,2º B,S,05/09/2014,13000906,13000906,,,57
99858,4540771,31,2014,O,1º de Bachillerato (Humanidades y Ciencias Sociales),1º HCS,N,05/09/2014,13000906,13000906,,,105
103930,4540649,667,2014,O,3º de ESO,3º A,N,05/09/2014,13000906,13000906,,,73
103914,4541438,667,2014,O,3º de ESO,3º A,N,05/09/2014,13000906,13000906,,,56
782106,4541423,667,2014,O,1º de ESO,1º B,S,05/09/2014,13000906,13000906,,,168
103929,4541626,667,2014,O,3º de ESO,3º B,N,05/09/2014,13000906,13000906,,,78
344385,4541411,667,2014,O,1º de ESO,1º A,S,05/09/2014,13000906,13000906,,,161
82604,4542604,667,2014,O,2º de ESO,2º A,N,05/09/2014,13000906,13000906,,,68
103931,4542650,667,2014,O,1º de ESO,1º A,S,05/09/2014,13000906,13000906,,,208
82542,4542717,667,2014,O,2º de ESO,2º A,N,05/09/2014,13000906,13000906,,,67
41493,4543169,667,2014,O,1º de ESO,1º A,S,05/09/2014,13000906,13000906,,,195
